[run number],minimum-sugar-endowment,initial-population,[step],gini-index-reserve
2,6,100,0,6.210382514
10,8,200,0,8.167996012
8,8,100,0,3.983282675
4,6,200,0,13.4657574
3,6,200,0,12.74625624
7,8,100,0,3.972250252
5,6,300,0,19.17441003
9,8,200,0,8.325333993
6,6,300,0,17.71102592
2,6,100,1,7.470165746
8,8,100,1,6.549898167
10,8,200,1,12.30100251
7,8,100,1,5.893145161
2,6,100,2,10.19687163
4,6,200,1,18.30706837
3,6,200,1,16.24059735
5,6,300,1,23.50148258
8,8,100,2,10.99643947
10,8,200,2,19.49302441
7,8,100,2,9.357285429
6,6,300,1,23.1878865
2,6,100,3,13.28756477
8,8,100,3,14.46202532
7,8,100,3,10.57713755
3,6,200,2,22.74047878
4,6,200,2,23.56782511
2,6,100,4,15.23275024
10,8,200,3,24.4056244
5,6,300,2,31.31640058
8,8,100,4,15.05672823
1,6,100,0,6.682022472
6,6,300,2,31.68111072
7,8,100,4,11.38082902
2,6,100,5,15.83598585
4,6,200,3,27.24630802
8,8,100,5,15.90566802
3,6,200,3,27.98939472
10,8,200,4,27.43549822
7,8,100,5,11.99640862
2,6,100,6,16.29301948
5,6,300,3,36.79259897
6,6,300,3,36.96492986
4,6,200,4,28.92626164
8,8,100,6,16.76362957
10,8,200,5,28.34094617
2,6,100,7,17.29593373
3,6,200,4,28.71855864
7,8,100,6,12.8237037
9,8,200,1,11.45833333
6,6,300,4,41.53034174
4,6,200,5,31.43995381
5,6,300,4,40.27309302
8,8,100,7,18.13139453
2,6,100,8,18.27269529
7,8,100,7,14.28057303
10,8,200,6,28.82103877
3,6,200,5,31.83362754
9,8,200,2,18.21686747
8,8,100,8,17.82225064
1,6,100,1,9.303222094
2,6,100,9,18.88486842
4,6,200,6,29.86038688
7,8,100,8,15.48681608
6,6,300,5,44.93678161
5,6,300,5,43.92670713
10,8,200,7,30.94472094
8,8,100,9,18.79241877
3,6,200,6,31.82306445
2,6,100,10,19.02764128
9,8,200,3,23.84905202
4,6,200,7,31.25889328
7,8,100,9,15.44257789
6,6,300,6,46.39247614
8,8,100,10,18.65675375
10,8,200,8,31.93369056
5,6,300,6,43.89250493
3,6,200,7,34.85191638
2,6,100,11,18.82551487
7,8,100,10,15.29218573
4,6,200,8,32.4802754
9,8,200,4,25.81889941
8,8,100,11,18.50258398
6,6,300,7,50.01610327
10,8,200,9,32.22257053
2,6,100,12,19.15140086
7,8,100,11,15.61789697
5,6,300,7,46.63980219
3,6,200,8,36.63179148
4,6,200,9,33.75087966
8,8,100,12,18.68287938
9,8,200,5,29.59613734
10,8,200,10,31.77586207
2,6,100,13,19.30172414
7,8,100,12,15.83166583
6,6,300,8,52.62670025
2,6,100,14,19.71325648
8,8,100,13,18.87741047
2,6,100,15,19.84958979
4,6,200,10,33.07222587
5,6,300,8,48.35873136
3,6,200,9,37.36480908
1,6,100,2,11.95679012
7,8,100,13,16.3852381
2,6,100,16,19.83247089
10,8,200,11,32.9150472
9,8,200,6,29.60051242
2,6,100,17,20.02240033
2,6,100,18,20.41112859
8,8,100,14,18.68523316
6,6,300,9,52.56831567
2,6,100,19,20.70158252
8,8,100,15,18.94080295
4,6,200,11,33.8196005
7,8,100,14,16.86892322
2,6,100,20,20.78612613
10,8,200,12,33.07937549
8,8,100,16,19.12173744
5,6,300,9,51.25301495
7,8,100,15,17.07316017
3,6,200,10,36.19792663
8,8,100,17,19.45865922
2,6,100,21,20.50962199
9,8,200,7,31.85631323
7,8,100,16,17.20857378
8,8,100,18,19.39691817
2,6,100,22,20.48025016
7,8,100,17,17.60197628
4,6,200,12,34.09120425
