"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/27/2024 11:17:25:533 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","Gini-index-reserve","survival-ratio"
"4","4","100","0","11.291333333333338","1"
"8","4","130","0","14.118279569892467","1"
"5","4","130","0","16.25529168817758","1"
"2","4","100","0","12.114965986394557","1"
"3","4","100","0","12.114193548387101","1"
"6","4","130","0","14.974716202270372","1"
"1","4","100","0","10.393483709273182","1"
"7","4","130","0","14.689228529839882","1"
"4","4","100","20","11.46356430580414","1"
"2","4","100","20","11.16798649876671","0.99"
"8","4","130","20","14.391280408449303","1"
"3","4","100","20","9.715397923875429","0.99"
"5","4","130","20","13.259840913726276","0.9923076923076923"
"7","4","130","20","12.745370819195353","1"
"2","4","100","40","11.148981853442306","0.99"
"6","4","130","20","12.688537244307197","0.9923076923076923"
"8","4","130","40","14.74565241168107","1"
"3","4","100","40","10.091944016607508","0.99"
"4","4","100","40","11.118738910877576","1"
"5","4","130","40","12.981801136050265","0.9923076923076923"
"2","4","100","60","10.780723569987327","0.99"
"8","4","130","60","14.68126944850598","1"
"3","4","100","60","10.00762487444069","0.99"
"4","4","100","60","10.711032623849803","1"
"7","4","130","40","12.73149845493114","1"
"6","4","130","40","12.125051975051976","0.9846153846153847"
"5","4","130","60","12.66082772619627","0.9923076923076923"
"2","4","100","80","23.483681501665163","0.99"
"3","4","100","80","22.243281554544915","0.99"
"4","4","100","80","24.863935224643843","1"
"8","4","130","80","32.6658115316231","1"
"7","4","130","60","12.787471231300348","1"
"6","4","130","60","11.887450199203187","0.9846153846153847"
"2","4","100","100","19.242690726359072","0.97"
"5","4","130","80","27.81630781325068","0.9923076923076923"
"4","4","100","100","19.772366522366514","1"
"8","4","130","100","23.34687938992574","1"
"2","4","100","120","12.490833333333336","0.96"
"5","4","130","100","24.346944918230164","0.9923076923076923"
"3","4","100","100","20.56553813726781","0.99"
"7","4","130","80","31.87829304901401","1"
"6","4","130","80","29.733558217449186","0.9846153846153847"
"8","4","130","120","17.15842122431227","0.9923076923076923"
"2","4","100","140","15.245368452204797","0.96"
"3","4","100","120","13.296826141338324","0.99"
"6","4","130","100","26.844042553191485","0.9846153846153847"
"7","4","130","100","25.805795650987154","1"
"2","4","100","160","21.16742252456537","0.96"
"4","4","100","120","12.61713915671319","1"
"5","4","130","120","16.505928417801776","0.9923076923076923"
"3","4","100","140","14.023609443777504","0.99"
"8","4","130","140","19.503229689067204","0.9923076923076923"
"6","4","130","120","16.91225095379399","0.9769230769230769"
"7","4","130","120","17.69808712958866","1"
"2","4","100","180","21.077222582738475","0.96"
"4","4","100","140","14.227625396131568","1"
"3","4","100","160","20.311712661862074","0.99"
"8","4","130","160","30.261336340016705","0.9923076923076923"
"2","4","100","200","15.24297349622806","0.96"
"7","4","130","140","21.50827385552573","1"
"5","4","130","140","17.07477084417404","0.9923076923076923"
"3","4","100","180","23.251103190767132","0.99"
"6","4","130","140","17.438377739860872","0.9769230769230769"
"2","4","100","220","16.474372538646914","0.96"
"8","4","130","180","26.49658872859072","0.9846153846153847"
"4","4","100","160","24.069395955470654","1"
"7","4","130","160","27.851801737644205","1"
